提示,#genre#
中国|CCTV-7 军事农业,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=Ijhvir&tk=cl177bPI6scY
中国|CCTV-8 电视剧 HD,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=8FVazU&tk=cl177bPI6scY
中国|CCTV-9 记录 HD,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=9W2BSJ&tk=cl177bPI6scY
中国|CCTV-10 科教 HD,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=trD7FA&tk=cl177bPI6scY
中国|CCTV-11 戏曲,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=6SIV0u&tk=cl177bPI6scY
中国|CCTV-12 社会与法,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=qWttE3&tk=cl177bPI6scY
中国|CCTV-13 新闻频道,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=Zh0EEJ&tk=cl177bPI6scY
中国|CCTV-14 少儿,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=q2tLnr&tk=cl177bPI6scY
中国|CCTV-6,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=w2BHBC&tk=cl177bPI6scY
中国|CCTV-15 音乐,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=qnJIsN&tk=cl177bPI6scY
中国|湖南卫视,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=OvoRbk&tk=cl177bPI6scY
中国|浙江卫视,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=rFtZib&tk=cl177bPI6scY
中国|江苏卫视,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=CI0PTG&tk=cl177bPI6scY
中国|深圳卫视,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=M9IzJk&tk=cl177bPI6scY
中国|福建东南卫视,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=jtA3ei&tk=cl177bPI6scY
中国|广东南方卫视,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=2FzzzU&tk=cl177bPI6scY
中国|广东卫视,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=apQA9Q&tk=cl177bPI6scY
中国|北京卫视,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=hM9PnE&tk=cl177bPI6scY
中国|珠江台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=x4WkUZ&tk=cl177bPI6scY
中国|广西卫视,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=dQpYV9&tk=cl177bPI6scY
中国|湖北卫视,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=2RhvYg&tk=cl177bPI6scY
中国|四川卫视,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=3SW9Xc&tk=cl177bPI6scY
中国|东方卫视,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=BI5znj&tk=cl177bPI6scY
中国|CGTN,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=jmXQwJ&tk=cl177bPI6scY
中国|凤凰卫视,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=oRo6GL&tk=cl177bPI6scY
中国|凤凰资讯,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=i3y4IL&tk=cl177bPI6scY
中国|CCTV-5 体育频道,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=0nlkNw&tk=cl177bPI6scY
中国|CCTV-5+ 体育赛事 HD,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=dT4ats&tk=cl177bPI6scY
体育,#genre#
体育频道|Astro Premier League 1,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=Xi7Gp0&tk=cl177bPI6scY
体育频道|Astro EPL 1 backup,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=NaFAQ8&tk=cl177bPI6scY
体育频道|Astro Premier League 2,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=y8qTJ8&tk=cl177bPI6scY
体育频道|Astro Grandstand,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=y4W418&tk=cl177bPI6scY
体育频道|Astro Football,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=HWX1RE&tk=cl177bPI6scY
体育频道|Astro Sports Plus,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=BlBhht&tk=cl177bPI6scY
体育频道|Astro Badminton 1,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=pmPjGc&tk=cl177bPI6scY
体育频道|Astro Badminton 2,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=31XsHB&tk=cl177bPI6scY
体育频道|Astro W-Sports,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=qnWlrr&tk=cl177bPI6scY
体育频道|Supersports 1,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=q0oW4o&tk=cl177bPI6scY
体育频道|Supersports 2,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=iDhiEm&tk=cl177bPI6scY
体育频道|Supersports 3,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=mdbkCA&tk=cl177bPI6scY
体育频道|Supersports 4,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=GvcIhi&tk=cl177bPI6scY
体育频道|WWE,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=uIvwn0&tk=cl177bPI6scY
体育频道|Fight Sports,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=hhCOoF&tk=cl177bPI6scY
体育频道|NBA TV,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=08vyOw&tk=cl177bPI6scY
体育频道|Astro Cricket,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=27LPke&tk=cl177bPI6scY
体育频道|Astro Golf,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=1rwfUx&tk=cl177bPI6scY
体育频道|Tnt Sports 1,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=6JNRC2&tk=cl177bPI6scY
体育频道|TNT Sports 2,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=CTriBO&tk=cl177bPI6scY
体育频道|TNT Sports 3,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=pzr7S9&tk=cl177bPI6scY
体育频道|TNT Sports 4,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=2ZHOez&tk=cl177bPI6scY
体育频道|Sony Ten 1,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=RSeYE4&tk=cl177bPI6scY
体育频道|Sony Ten 2,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=Tgx1TJ&tk=cl177bPI6scY
体育频道|Sony Ten 3,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=FV89No&tk=cl177bPI6scY
体育频道|SPOTV 1 HD,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=BPludZ&tk=cl177bPI6scY
体育频道|SPO TV 2,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=tI9kyA&tk=cl177bPI6scY
体育频道|Skysports F1,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=RD21PD&tk=cl177bPI6scY
体育频道|Skysports Cricket,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=cloEfx&tk=cl177bPI6scY
体育频道|Skysports EPL,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=4Lu82Z&tk=cl177bPI6scY
体育频道|Skysports Main Event,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=iz8uYy&tk=cl177bPI6scY
体育频道|Skysports News,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=2u6PYX&tk=cl177bPI6scY
体育频道|Skysports Mix,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=fgceyL&tk=cl177bPI6scY
体育频道|CCTV-5 体育频道,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=6fPmNp&tk=cl177bPI6scY
体育频道|CCTV-5+ 体育赛事 HD,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=7m3KgP&tk=cl177bPI6scY
体育频道|爱尔达体育2台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=5B0GaS&tk=cl177bPI6scY
体育频道|爱尔达体育3台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=TgseS6&tk=cl177bPI6scY
体育频道|Rugby Pass TV,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=rB9nYn&tk=cl177bPI6scY
体育频道|RTM Sports HD,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=4UIkFE&tk=cl177bPI6scY
体育频道|Arena,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=186gm5&tk=cl177bPI6scY
体育频道|Arena 2,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=dl7ouh&tk=cl177bPI6scY
体育频道|BolaArena 1,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=C099j3&tk=cl177bPI6scY
体育频道|BolaArena 2,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=wOwASF&tk=cl177bPI6scY
体育频道|Astro Beinsports 1,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=i43SK1&tk=cl177bPI6scY
体育频道|Astro Beinsports 2,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=GiIRJX&tk=cl177bPI6scY
体育频道|Astro Beinsports 3,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=Rhl7J7&tk=cl177bPI6scY
台湾,#genre#
台湾|TVBS News 新闻台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=xGeJxK&tk=cl177bPI6scY
台湾|TVBS 欢乐台 （备份）,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=Bxz7Uu&tk=cl177bPI6scY
台湾|TVBS HD,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=ihZFgr&tk=cl177bPI6scY
台湾|中天新闻 HD,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=yZaFlp&tk=cl177bPI6scY
台湾|中天娱乐 CTI Entertaiment,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=fO6fjr&tk=cl177bPI6scY
台湾|中天综合 CTI Metro,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=XDG11o&tk=cl177bPI6scY
台湾|中天亚洲台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=Mj8Pn6&tk=cl177bPI6scY
台湾|台视 TTV HD,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=iycDCs&tk=cl177bPI6scY
台湾|台视新闻台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=saJjTF&tk=cl177bPI6scY
台湾|台视综合台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=Bi3qlm&tk=cl177bPI6scY
台湾|中视 HD,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=0LxRNY&tk=cl177bPI6scY
台湾|中视新闻台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=57KC6E&tk=cl177bPI6scY
台湾|民视 HD,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=RgdA8F&tk=cl177bPI6scY
台湾|民视新闻台 FTV News,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=wdGegv&tk=cl177bPI6scY
台湾|民视台湾台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=lcreDp&tk=cl177bPI6scY
台湾|华视 CTS HD,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=uKPo98&tk=cl177bPI6scY
台湾|公视 CTV,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=SXncXg&tk=cl177bPI6scY
台湾|八大第一 GTV First,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=YrbIPE&tk=cl177bPI6scY
台湾|八大综合 GTV Metro,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=4X1zvp&tk=cl177bPI6scY
台湾|八大戏剧 GTV Drama,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=rAoljv&tk=cl177bPI6scY
台湾|八大娱乐 GTV Entertainment,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=yIUBxQ&tk=cl177bPI6scY
台湾|HBO_HD,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=2TUHtk&tk=cl177bPI6scY
台湾|HBO_HITS,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=6rctmU&tk=cl177bPI6scY
台湾|Hollywood Movies,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=4xqoD5&tk=cl177bPI6scY
台湾|三立台湾 Sanli Taiwan,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=RFb1Y1&tk=cl177bPI6scY
台湾|三立戏剧台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=HZ9Wh3&tk=cl177bPI6scY
台湾|三立综合 Sanli Metro,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=7dvbP2&tk=cl177bPI6scY
台湾|三立都会台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=wq2Oi9&tk=cl177bPI6scY
台湾|东森新闻 ETTV News,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=w9e6Fz&tk=cl177bPI6scY
台湾|CINEMAX,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=bvurWE&tk=cl177bPI6scY
台湾|东森综合 ETTV Metro,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=PXUb4A&tk=cl177bPI6scY
台湾|东森戏剧 ETTV Drama,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=RKWBNI&tk=cl177bPI6scY
台湾|东森超视,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=QiGExC&tk=cl177bPI6scY
台湾|东森财经新闻 ETTV Business,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=DU2lAB&tk=cl177bPI6scY
台湾|寰宇财经,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=BXJdfW&tk=cl177bPI6scY
台湾|寰宇新闻台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=gBInAu&tk=cl177bPI6scY
台湾|公视2,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=Bkn6fu&tk=cl177bPI6scY
台湾|大爱1台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=zS3O8J&tk=cl177bPI6scY
台湾|非凡新闻台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=Crbngg&tk=cl177bPI6scY
台湾|龙华戏剧 Lunghua Drama,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=ty408J&tk=cl177bPI6scY
台湾|龙华经典台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=khfeTt&tk=cl177bPI6scY
台湾|龙华偶像,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=CfTT0F&tk=cl177bPI6scY
台湾|AXN Taiwan,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=WsWosC&tk=cl177bPI6scY
台湾|靖天国际台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=AUjCaZ&tk=cl177bPI6scY
台湾|年代新闻,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=g88YMX&tk=cl177bPI6scY
台湾|纬来日本台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=ZnNzlx&tk=cl177bPI6scY
台湾|纬来电影台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=ilOCn5&tk=cl177bPI6scY
台湾|纬来体育台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=5IW6KN&tk=cl177bPI6scY
台湾|纬来综合台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=Mxop9T&tk=cl177bPI6scY
台湾|纬来育乐,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=f4NFUP&tk=cl177bPI6scY
台湾|纬来精彩,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=ZBwXyl&tk=cl177bPI6scY
台湾|好消息 2,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=1NH2Dd&tk=cl177bPI6scY
台湾|大爱2台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=M5NqaE&tk=cl177bPI6scY
台湾|亚洲美食,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=z0zp0X&tk=cl177bPI6scY
台湾|美食星球,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=g4StyS&tk=cl177bPI6scY
台湾|亚洲旅游 TLC Asia,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=Es6myC&tk=cl177bPI6scY
台湾|东森电影 ETTV Movie,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=FcQzFr&tk=cl177bPI6scY
台湾|阿里郎 Arirang,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=8AT3o6&tk=cl177bPI6scY
台湾|博斯运动 1,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=43epJ4&tk=cl177bPI6scY
台湾|博斯运动 2,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=OuW6d0&tk=cl177bPI6scY
台湾|博斯高球2 HD,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=4ktSKI&tk=cl177bPI6scY
台湾|博斯网球 HD,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=9lIlXG&tk=cl177bPI6scY
台湾|东森洋片 ETTV Western,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=dzhc0y&tk=cl177bPI6scY
台湾|龙华洋片 Lunghua Western,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=GzU4yZ&tk=cl177bPI6scY
台湾|博斯无限,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=AzV8Sk&tk=cl177bPI6scY
台湾|MTV Live,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=9NQkd5&tk=cl177bPI6scY
台湾|龙详时代,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=SMsR4w&tk=cl177bPI6scY
台湾|EYETV 旅游,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=s3brlN&tk=cl177bPI6scY
台湾|靖天卡通台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=DAYNzA&tk=cl177bPI6scY
台湾|EYETV 戏剧,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=Nzarrw&tk=cl177bPI6scY
台湾|卫视中文台 Star Movies Chinese,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=a77df2&tk=cl177bPI6scY
台湾|东森幼幼 Yoyo TV,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=gzREYU&tk=cl177bPI6scY
台湾|卫视电影台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=kFwZGR&tk=cl177bPI6scY
台湾|美亚电影,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=fZRKKy&tk=cl177bPI6scY
台湾|爱尔达影剧台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=XeJgJk&tk=cl177bPI6scY
台湾|爱尔达综合台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=jbtvT5&tk=cl177bPI6scY
台湾|星卫电影,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=8h53EA&tk=cl177bPI6scY
台湾|爱尔达影剧,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=xOMv3B&tk=cl177bPI6scY
台湾|AFC 亚洲旅游台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=cyAYb7&tk=cl177bPI6scY
台湾|爱尔达体育2台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=XAAuXV&tk=cl177bPI6scY
台湾|爱尔达体育3台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=GWw9vj&tk=cl177bPI6scY
电影,#genre#
电影频道|HBO_HD,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=0Ovc5E&tk=cl177bPI6scY
电影频道|HBO_HITS,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=yjFDFS&tk=cl177bPI6scY
电影频道|Hollywood Movies,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=gaoTZm&tk=cl177bPI6scY
电影频道|CCTV-6,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=06EnXK&tk=cl177bPI6scY
电影频道|CINEMAX,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=XUItzu&tk=cl177bPI6scY
电影频道|Cinemax,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=hdydZb&tk=cl177bPI6scY
电影频道|AXN Taiwan,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=qWE0iw&tk=cl177bPI6scY
电影频道|大爱2台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=PjfOAh&tk=cl177bPI6scY
电影频道|东森电影 ETTV Movie,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=gOvJkx&tk=cl177bPI6scY
电影频道|东森洋片 ETTV Western,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=QDglAU&tk=cl177bPI6scY
电影频道|龙华洋片 Lunghua Western,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=wXjd5o&tk=cl177bPI6scY
电影频道|Animax,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=dP3qAF&tk=cl177bPI6scY
电影频道|龙详时代,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=gJTSKE&tk=cl177bPI6scY
电影频道|Movies Now HD,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=w6af0W&tk=cl177bPI6scY
电影频道|Star Movies HD,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=eVmwo5&tk=cl177bPI6scY
电影频道|卫视中文台 Star Movies Chinese,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=jIW5pQ&tk=cl177bPI6scY
电影频道|HBO Family,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=SUkEWw&tk=cl177bPI6scY
电影频道|Hits,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=WyNXm8&tk=cl177bPI6scY
电影频道|Warner TV,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=efyK7F&tk=cl177bPI6scY
电影频道|卫视电影台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=vzTBw0&tk=cl177bPI6scY
电影频道|HBO HD,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=MRo9qZ&tk=cl177bPI6scY
电影频道|美亚电影,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=pD3cGo&tk=cl177bPI6scY
电影频道|HBO Signature,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=N3RDOG&tk=cl177bPI6scY
电影频道|HBO Hits,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=GXFzM1&tk=cl177bPI6scY
电影频道|星卫电影,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=IO6btR&tk=cl177bPI6scY
电影频道|SCM,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=kosiH9&tk=cl177bPI6scY
电影频道|Dreamworks,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=cSVUft&tk=cl177bPI6scY
电影频道|Thrill,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=CMDpwZ&tk=cl177bPI6scY
电影频道|Hits Movie,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=5ZlC1f&tk=cl177bPI6scY
电影频道|One,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=EM0nin&tk=cl177bPI6scY
电影频道|tvN Movie,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=jWJGVx&tk=cl177bPI6scY
电影频道|Celestial Classic,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=LJmdyX&tk=cl177bPI6scY
电影频道|Celestial Movies HD,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=nykbYj&tk=cl177bPI6scY
电影频道|Axn HD,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=szzHTa&tk=cl177bPI6scY
电影频道|Paramount Network,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=GjdMLP&tk=cl177bPI6scY
电影频道|Astrol Kplus,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=WdjqsW&tk=cl177bPI6scY
电影频道|Rock Actions,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=Wop1YL&tk=cl177bPI6scY
电影频道|Rock Entertainment,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=n5wddI&tk=cl177bPI6scY
纪录,#genre#
纪录频道|Natgeo_HD,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=rTy402&tk=cl177bPI6scY
纪录频道|NatGeo_Wild HD,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=xalS7A&tk=cl177bPI6scY
